,Year,warstds,eu_nama_aux_pem_POP,gle_rgdpc,ross_oil_netexpc,p_polity,al_ethnic,al_religion,imf_gdpgr,une_gerst
183,2006,0,488.07999,472.81,0,6,0.295144,0.5158263,5.414,13.98038
184,2007,0,486.70001,458.17001,0,6,0.295144,0.5158263,3.44,14.94307
185,2008,0,625.75,576.28998,0,6,0.295144,0.5158263,4.907,57.41059769
186,2009,0,620.15997,566.21002,0,6,0.295144,0.5158263,3.803,19.98922
187,2010,0,636.83002,573.76001,0,6,0.295144,0.5158263,5.053,23.14879
188,2011,0,663.57001,585.37,1250.817624,6,0.295144,0.5158263,4.819956757,25.96215
189,2012,0,9553.663278,9333.006679,1292.147104,6,0.295144,0.5158263,4.822847496,28.498
190,2013,0,9586.092711,9363.880282,1303.588128,-2.236030262,-0.17911187,0.418905081,4.829094204,58.28308449
191,2014,0,9596.475495,9374.340556,1303.699162,-2.272733824,-0.186294851,0.418561087,4.816380927,58.35488367
192,2001,0,960.09998,1058.23,25.45605591,-4,0.86349,0.7337534,4.514,32.0455
193,2002,0,1022.82,1109.4,24.96257111,-4,0.86349,0.7337534,4.009,27.88631
194,2003,0,1124.11,1194.14,21.45123885,-4,0.86349,0.7337534,4.031,29.4053
195,2004,0,1221.3,1261.85,22.39161199,-4,0.86349,0.7337534,3.702,26.17057
196,2005,0,1477.8199,1477.8199,44.26097203,-4,0.86349,0.7337534,2.297,26.63291
197,2006,0,1666.37,1614.22,55.86813937,-4,0.86349,0.7337534,3.222,23.15625
198,2007,0,1966.35,1851.08,52.91930028,-4,0.86349,0.7337534,2.84,31.73853
199,2008,0,2205.99,2031.64,56.52058176,-4,0.86349,0.7337534,3.627,35.90757
200,2009,0,2202.3301,2010.73,33.44702816,-4,0.86349,0.7337534,1.868,39.58726
201,2010,0,2375.1899,2139.95,25.09573597,-4,0.86349,0.7337534,3.343,58.11021222
202,2011,0,2658.51,2345.22,1296.255722,-4,0.86349,0.7337534,4.818830435,47.18849
203,2012,0,9537.208361,9314.210462,1291.556682,-4,0.86349,0.7337534,4.82540224,50.37787
