,country,year,warstds,atwards,anoc,ager,autonomy,avgnabo,dem,dlang,drace,drel,durable,ef,gdpgrowth,illiteracy,infant,inst,inst3,life,lmtnest,milper,nat_war,ncontig,nwstate,oil,plural,plurrel,pol4,pol4sq,popdense,relfrac,seceduc,second,sxpnew,sxpsq,tnatwar,trade,warhist,xconst,lpopns,ln_gdpen,numlang,proxregc,partfree,decade1,regd4_alt,etdo4590,geo1,presi,parreg,geo34
5581,Slovenia,1967,1,1,0,97,0,0.30619359,0,15,0,5,8,0.431374997,0.052917201,23.40255059,95,0,0,56.69760132,1.85629797,151,1,0,0,0,0.74000001,95,-7,49,63.80347824,0.095799997,14,0.140000001,0.121385098,0.014734342,2,34.63536072,0.05529926,1,17.29971695,0.234281346,7,1.53E-05,0,1,-2,1,0,0,4,0
5582,Slovenia,1960,0,0,0,-68.82645153,-0.059543893,-0.041999182,0,50,0,10,-30.7049265,0.883256972,-0.134672083,71.10208682,199.1780879,0,-0.565936964,33.95148351,0,-522.5879067,-0.006681048,0,1,-0.559471886,0.219999999,70,-6.973971102,61.72622302,69.20478742,0.460000008,-27.0280924,0.200000003,-0.005879792,-0.484718531,-0.384634861,90.43620015,-0.028629071,2.440100888,14.23026562,-1.002393365,19,0.677136577,-0.826841087,1,-7,0,0,-0.064833247,2.498506389,0
5583,Slovenia,1961,0,0,0,1,0,0.415081501,0,50,0,10,0,0.883256972,0.105759703,72.41471169,167.0378214,0,0,40.5121994,0,0,0,0,1,0,0.219999999,70,-6,36,28.24048996,0.460000008,2,0.200000003,-0.06451097,-0.557826756,0,62.68009186,-0.006683573,3,14.24469185,-1.005121946,19,1,-1.193671794,1,-6,0,0,-0.439784238,4,0
5584,Solomon Islands,1962,0,0,0,2,0,0.337160498,0,50,0,10,1,0.883256972,0.023,78.50620389,164.5108417,0,0,40.5121994,0,0,0,0,0,0,0.219999999,70,-6,36,28.64496994,0.460000008,2,0.200000003,0.269662362,0.092010376,0,69.47064209,0.034703712,3,14.25891304,-0.991553247,19,0.25,-0.472348619,1,-6,0,0,0.141641657,4,0
5585,Solomon Islands,1963,0,0,0,3,0,0.337160498,0,50,0,10,2,0.883256972,0.035080101,75.35226118,172.9246661,0,0,40.5121994,0,0,0,0,0,0,0.219999999,70,-6,36,29.06784058,0.460000008,2,0.200000003,0.242645132,0.100039298,0,65.46769714,0.307027071,3,14.27356815,-1.030019522,19,0.0625,-0.483657292,1,-6,0,0,-0.085935257,4,0
5586,Solomon Islands,1964,0,0,0,4,0,0.116234303,0,50,0,10,3,0.883256972,0.126628295,75.42877,148.270437,0,0,40.5121994,0,1,0,0,0,0,0.219999999,70,-6,36,29.49072075,0.460000008,2,0.200000003,0.133498467,0.010824167,0,55.23281097,0.303232274,3,14.2880106,-0.872273803,19,0.015625,-0.046492915,1,-7,0,0,0.051847157,4,0
5587,Solomon Islands,1965,0,0,0,5,0,0.116234303,0,50,0,10,4,0.883256972,0.138198495,69.13454023,165.2730483,0,0,40.5121994,0,1,0,0,0,0,0.219999999,70,-6,36,29.91358948,0.460000008,2,0.200000003,0.256331293,0.048766796,0,70.6520462,0.238824669,3,14.302248,-0.715392828,19,0.00390625,-0.235358582,1,-6,0,0,0.043382041,4,0
5588,Solomon Islands,1966,0,0,0,6,0,0.077489503,0,50,0,10,5,0.883256972,0.0550684,80.16610151,170,0,0,42.96099854,0,1,0,0,0,0,0.219999999,70,-6,36,31.23736,0.460000008,5,0.200000003,0.138693795,0.019235969,0,63.09368134,0.228959781,3,14.34555054,-0.707246125,19,0.000976563,0,1,-7,0,0,0,4,0
5589,Solomon Islands,1967,0,0,0,7,0,0.077489503,0,50,0,10,6,0.883256972,0.0090265,75.29060456,170,0,0,42.96099854,0,1,0,0,0,0,0.219999999,70,-6,36,32.61629105,0.460000008,5,0.200000003,0.160768598,0.025846543,0,70.10923004,0.035115676,3,14.38874722,-0.634878337,19,0.000244141,0,1,-7,0,0,0,4,0
5590,Solomon Islands,1968,0,0,0,8,0,0.077489503,0,50,0,10,7,0.883256972,0.0023579,69.59995124,170,0,0,42.96099854,0,1,0,0,0,0,0.219999999,70,-7,49,34.06875992,0.460000008,5,0.200000003,0.128393605,0.016484918,0,65.52455902,-0.022996814,1,14.43231678,-0.634878337,19,6.10E-05,0,1,-7,0,0,0,4,0
